ticker,sector,composite_z,composite_rank,composite_pct,ai_score,ai_rated_at,value_quality_score,value_rank,growth_score,growth_rank,exclusion_reason
UPST,Financials,-0.6496,2289,7.22,,,,,,,
UPWK,Information Technology,0.0137,1284,47.97,,,,,,,
URBN,Consumer Discretionary,0.0748,1104,55.27,,,,,,,
URGN,Health Care,0.2129,722,70.76,,,,,,,
URI,,0.3353,455,81.59,,,,,,,
USA,,-0.4882,2178,11.72,,,,,,,
USAR,Materials,-0.4707,2157,12.57,,,,,,,
USAS,Materials,0.7424,89,96.43,,,,,,,
USB,Financials,0.2551,611,75.26,,,,,,,
USFD,Industrials,0.4397,307,87.59,,,,,,,
USLM,Materials,-0.1224,1668,32.4,,,,,,,
USPH,Health Care,-0.2304,1883,23.68,,,,,,,
UTF,,-0.2497,1921,22.14,,,,,,,
UTG,,-0.3548,2060,16.5,,,,,,,
UTHR,Health Care,0.4908,244,90.15,,,,,,,
UTI,,-0.1273,1676,32.08,,,,,,,
UTL,Utilities,-0.0201,1391,43.63,,,,,,,
UTZ,Consumer Staples,-0.3547,2059,16.55,,,,,,,
UUUU,Materials,-0.8008,2350,4.74,,,,,,,
UVE,Financials,0.6707,121,95.13,,,,,,,
UVSP,Financials,0.269,577,76.64,,,,,,,
UVV,Industrials,-0.1811,1800,27.05,,,,,,,
V,,0.4563,285,88.48,,,,,,,
VAC,Real Estate,-0.2286,1876,23.97,,,,,,,
VAL,Energy,-0.1024,1616,34.51,,,,,,,
VC,Consumer Discretionary,-0.1426,1712,30.62,,,,,,,
VCEL,Health Care,0.1114,1000,59.49,,,,,,,
VCTR,Financials,0.4534,290,88.28,,,,,,,
VCX,,,,,,,,,,,new_issue
VCYT,Health Care,0.4271,314,87.31,,,,,,,
VECO,Industrials,0.144,895,63.75,,,,,,,
VEEV,Information Technology,0.2863,545,77.94,,,,,,,
VELO,Industrials,-0.8945,2377,3.65,,,,,,,
VERA,Health Care,-0.6269,2275,7.79,,,,,,,
VERX,Information Technology,-0.0073,1353,45.17,,,,,,,
VET,Energy,0.4438,302,87.79,,,,,,,
VFC,Consumer Discretionary,0.0594,1145,53.61,,,,,,,
VGNT,Consumer Discretionary,,,,,,,,,,insufficient_history
VIA,Information Technology,,,,,,,,,,new_issue
VIAV,Information Technology,0.2658,582,76.44,,,,,,,
VICI,Real Estate,-0.3464,2050,16.91,,,,,,,
VICR,Information Technology,0.5647,189,92.38,,,,,,,
VIK,Industrials,0.6799,115,95.38,,,,,,,
VIR,Health Care,0.005,1307,47.04,56.0,2026-08-10T22:40:11.382719+00:00,0.1017,879,6.5167,4,
VIRT,Financials,-0.1847,1804,26.89,,,,,,,
VISN,Information Technology,0.6898,112,95.5,,,,,,,
VITL,Consumer Staples,-0.8177,2358,4.42,,,,,,,
VKTX,Health Care,-0.5509,2228,9.69,,,,,,,
VLO,Energy,0.6422,133,94.65,,,,,,,
VLTO,Industrials,0.047,1182,52.11,,,,,,,
VLY,Financials,0.1519,872,64.68,,,,,,,
VMC,Materials,0.0111,1292,47.65,,,,,,,
VMET,Financials,,,,,,,,,,insufficient_history
VMI,Industrials,0.2648,587,76.24,,,,,,,
VNO,Real Estate,-0.409,2106,14.64,,,,,,,
VNOM,Energy,0.1736,823,66.67,,,,,,,
VNT,Industrials,-0.1798,1798,27.13,,,,,,,
VOR,Health Care,-1.4177,2450,0.69,,,,,,,
VOYA,Financials,-0.085,1563,36.66,,,,,,,
VPG,Information Technology,0.3015,513,79.24,,,,,,,
VRDN,Health Care,-0.9916,2398,2.8,,,,,,,
VRNS,Information Technology,-0.2877,1975,19.95,,,,,,,
VRSK,Information Technology,-0.2478,1918,22.26,,,,,,,
VRSN,Information Technology,-0.1063,1626,34.1,,,,,,,
VRT,Information Technology,0.4149,323,86.94,,,,,,,
VRTS,Financials,-0.1408,1706,30.86,,,,,,,
VRTX,Health Care,-0.0967,1601,35.12,,,,,,,
VSAT,Communication Services,0.3805,377,84.75,,,,,,,
VSEC,Industrials,-0.773,2340,5.15,,,,,,,
VSH,Information Technology,0.2477,629,74.53,,,,,,,
VSNT,Communication Services,,,,,,,,,,insufficient_history
VST,Utilities,0.0277,1239,49.8,,,,,,,
